Post,text
1,(Nasdaq: CRML) just released a huge update: they’ve appointed a dedicated project delivery team to fast track development of the Tanbreez rare earth project in southern Greenland. 💪🔥
2,"Just in: While headlines bounce around, CRML is quietly executing. Today the company announced a fully built Project Delivery Team to fast-track Tanbreez: • Tier-1 mining, processing, and engineering leadership • 30–50+ years experience across rare earths, lithium, and critical minerals • Pilot plant, engineering, and permitting work actively underway • Coordination spanning Greenland, the U.S., Europe, and allied partners This is real progress, not speculation. No change to fundamentals. No setback to the core thesis. Price moves don’t change execution — teams like this do."
3,"Critical Metals To Deploy Fully Autonomous Communications and Drone System at Tanbreez Rare Earth Project in Greenland Deployment of Nexus 20 communications tower scheduled for May 2026 Autonomous drone remotely operated from Perth, Western Australia for real-time imaging 360-degree optical surveillance and full radio/emergency communications for Tanbreez Integrated medical, emergency, and accommodation package fabricated in Thailand Executes a Term Sheet for a 50/50 Joint Venture for Up-To $1.5B Rare Earth Processing Facility with a Leading Saudi Arabian Industrial Conglomerate .1% / $18.28"
4,"Critical Metals to Deploy Autonomous Communications and Drone System at Tanbreez REE Project 𝐊𝐞𝐲 𝐇𝐢𝐠𝐡𝐥𝐢𝐠𝐡𝐭𝐬: ➤ Critical Metals Corp to deploy 𝐟𝐮𝐥𝐥𝐲 𝐚𝐮𝐭𝐨𝐧𝐨𝐦𝐨𝐮𝐬 𝐍𝐞𝐱𝐮𝐬 𝟐𝟎 𝐬𝐲𝐬𝐭𝐞𝐦 in Greenland. ➤ Deployment supports 𝐓𝐚𝐧𝐛𝐫𝐞𝐞𝐳 𝐫𝐚𝐫𝐞 𝐞𝐚𝐫𝐭𝐡 𝐩𝐫𝐨𝐣𝐞𝐜𝐭, a world-class REE asset. ➤ System supplied by 𝐊𝟗𝟗𝟗 𝐢𝐄𝐧𝐠𝐢𝐧𝐞𝐞𝐫𝐢𝐧𝐠 with partner 𝐂𝐢𝐓𝐞𝐜𝐡. ➤ Nexus 20 provides 𝐜𝐨𝐧𝐭𝐢𝐧𝐮𝐨𝐮𝐬 𝐬𝐢𝐭𝐞 𝐜𝐨𝐦𝐦𝐮𝐧𝐢𝐜𝐚𝐭𝐢𝐨𝐧𝐬 and emergency coverage. ➤ Platform includes 𝐢𝐧𝐭𝐞𝐠𝐫𝐚𝐭𝐞𝐝 𝐚𝐮𝐭𝐨𝐧𝐨𝐦𝐨𝐮𝐬 𝐝𝐫𝐨𝐧𝐞 𝐬𝐲𝐬𝐭𝐞𝐦. ➤ Drone enables 𝐫𝐞𝐚𝐥-𝐭𝐢𝐦𝐞 𝐢𝐦𝐚𝐠𝐢𝐧𝐠 and geological reconnaissance. ➤ Operations remotely controlled from 𝐏𝐞𝐫𝐭𝐡, 𝐖𝐞𝐬𝐭𝐞𝐫𝐧 𝐀𝐮𝐬𝐭𝐫𝐚𝐥𝐢𝐚. ➤ System delivers 𝟑𝟔𝟎-𝐝𝐞𝐠𝐫𝐞𝐞 𝐨𝐩𝐭𝐢𝐜𝐚𝐥 𝐬𝐮𝐫𝐯𝐞𝐢𝐥𝐥𝐚𝐧𝐜𝐞 coverage. ➤ Custom-engineered for 𝐀𝐫𝐜𝐭𝐢𝐜 𝐜𝐨𝐧𝐝𝐢𝐭𝐢𝐨𝐧𝐬 and long-range autonomy. ➤ Deployment scheduled for 𝐌𝐚𝐲 𝟐𝟎𝟐𝟔. ➤ Includes 𝐦𝐞𝐝𝐢𝐜𝐚𝐥, 𝐞𝐦𝐞𝐫𝐠𝐞𝐧𝐜𝐲, 𝐚𝐧𝐝 𝐚𝐜𝐜𝐨𝐦𝐦𝐨𝐝𝐚𝐭𝐢𝐨𝐧 support packages. ➤ Technology enhances 𝐨𝐩𝐞𝐫𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐬𝐚𝐟𝐞𝐭𝐲 and exploration efficiency. ➤ Drone fly-overs to increase 𝐬𝐡𝐚𝐫𝐞𝐡𝐨𝐥𝐝𝐞𝐫 𝐭𝐫𝐚𝐧𝐬𝐩𝐚𝐫𝐞𝐧𝐜𝐲. ➤ Deployment underscores focus on 𝐚𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐚𝐮𝐭𝐨𝐧𝐨𝐦𝐨𝐮𝐬 𝐦𝐢𝐧𝐢𝐧𝐠 𝐭𝐞𝐜𝐡𝐧𝐨𝐥𝐨𝐠𝐲."
5,"Not a fan of penny stocks and in fact, I discourage investing in them, but this is too compelling. This company owns 48,036,338 shares of $CRML and owns 7.5% of the Tanbreez rare earth minerals project in Greenland. Their market cap is less than the value of their CRML stock holding. It’s trading as it is because no one has ever heard of the company and trades OTC."
6,Well well well... Howard Lutnick acquired $2 billion worth of Critical Metals Corp. $CRML back in Feb 2024. He was underwater -90% until Trump won the election. The Tanbreez project in southern Greenland is one of the largest heavy Uranium (REE) deposits globally.
7,"acquires (orders) a $1M integrated mobile geochemical lab for its Tanbreez rare earth project in Greenland. It’s a two-module 40-ft setup with automated sample prep plus a Bruker Micro-XRF system the company says can deliver REE results in ~80 minutes, aiming to cut assay turnaround vs off-site labs. Still subject to local approvals to commission and operate."
8,"being sub .30 is so insane $300 mil market cap + 58 mil shares of CRML worth $1.7 billion+ %7.5 ownership of Tanbreez worth billions, $75 mil cash on hand + 7 million additional shares they will be rewarded since $CRML is over 20$ + the value of the Wolfsberg Project"
9,1/12 BLBX just announced its merger target REalloys secured a massive 10-year offtake agreement for 15% of the world-class Tanbreez rare earth project in Greenland—6.75M metric tons of concentrate over the decade. This isn't just another mining deal; it's a strategic chess move positioning the combined entity at the center of North America's critical minerals independence
10,"The Macro Setup is PERFECT: China just imposed sweeping export restrictions on rare earths specifically targeting foreign militaries (announced Oct 9th). China controls 60% of global mining and 90% of processing. Meanwhile, the Pentagon is building a $1B+ critical minerals stockpile, with Trump's OBBA allocating $7.5B for supply chain investments. The timing couldn't be better."
11,BREAKING: Critical Metals is up over 100% this week and another 27% during pre-market! The Trump administration is eying a stake in $CRML Greenland rare earth project. They secured a $35 million PIPE to fund the Tanbreez project! We have this name on watch
12,THIS IS VERY INTERESTING $CRML's #Tanbreez #Greenland #RareEarth Project owner RIMBAL PTY LTD (controlled by geologist & founder Gregory Barnes) IS ALSO THE FACILITATOR OF $DAL's BLUE LAGOON #REE PROJECT IN #GREENLAND Nice find 
13,"Make sure you’re paying attention to . He’s been carrying out his plan and updating shareholders along the way as promised. Boss move today with the share buyback for $eulif. Can’t wait to see what’s in store for $crml & the #Tanbreez project in #Greenland that will change #CriticalMineral production and reliance on China forever. Them Warrants on fire $crmlw , stay tuned! #REEs"
